iter	Passed	Remaining
1528	10898	10485
1529	10905	10478
1530	10913	10471
1531	10922	10466
1532	10931	10460
1533	10938	10453
1534	10945	10446
1535	10952	10439
1536	10959	10431
1537	10966	10424
1538	10973	10417
1539	10981	10410
1540	10988	10404
1541	10996	10397
1542	11002	10389
1543	11010	10382
1544	11017	10375
1545	11024	10368
1546	11032	10362
1547	11040	10355
1548	11047	10348
1549	11054	10341
1550	11061	10334
1551	11069	10327
1552	11076	10320
1553	11083	10312
1554	11090	10306
1555	11098	10299
1556	11105	10292
1557	11112	10285
1558	11119	10277
1559	11127	10271
1560	11133	10263
1561	11140	10255
1562	11147	10248
1563	11156	10243
1564	11162	10235
1565	11169	10227
1566	11177	10221
1567	11185	10215
1568	11192	10207
1569	11198	10200
1570	11205	10193
1571	11212	10185
1572	11219	10178
1573	11226	10171
1574	11234	10164
1575	11243	10158
1576	11250	10151
1577	11257	10144
1578	11263	10136
1579	11269	10128
1580	11276	10120
1581	11282	10112
1582	11289	10105
1583	11295	10097
1584	11302	10090
1585	11310	10083
